userId,movieId
1,902
1,1176
1,613
2,2681
2,1366
2,1451
2,904
2,2284
3,806
3,2225
4,1070
5,886
5,1786
5,1328
5,2003
5,471
5,1310
6,2875
6,46
6,2387
6,1579
7,324
7,929
8,1885
8,921
8,1530
8,16
8,404
8,1841
9,2213
9,814
9,2524
9,1199
9,608
10,1928
10,1634
10,1029
10,2033
10,984
10,274
10,680
10,682
10,603
10,1066
10,2078
10,1850
10,797
10,730
10,2777
10,859
10,813
10,1296
10,1880
10,1508
10,1513
10,822
10,1255
10,1199
11,544
11,203
11,2953
11,1185
11,921
12,902
13,1023
13,2072
13,912
14,2326
15,113
15,2716
15,1130
15,424
15,2907
15,1834
15,839
16,2471
17,890
17,959
17,195
17,2051
17,2052
17,1772
17,30
17,1746
17,743
17,1895
17,1309
17,1530
17,1007
18,2317
18,2024
18,1634
18,905
18,250
18,1576
18,1339
18,2623
18,26
18,1785
18,1686
18,2768
18,915
18,1521
18,836
19,2321
19,1029
19,583
19,2124
19,615
19,1467
19,2079
19,798
19,45
19,2393
19,1500
20,1057
21,918
22,494
22,1428
22,2124
22,1669
22,796
22,2470
22,1513
22,1319
22,1320
23,973
23,904
23,3062
23,594
23,1459
23,2768
23,1511
23,923
23,1895
23,2315
24,1642
24,997
24,1465
24,1077
24,2385
24,48
24,1189
24,953
25,216
25,1932
25,1296
25,1962
26,1579
26,1769
26,344
26,1066
26,1724
26,1854
26,1856
26,43
27,2326
27,973
27,822
27,944
28,1629
28,2213
28,730
28,2831
28,513
29,968
29,1070
29,1812
29,930
30,844
31,2599
31,2727
31,2622
31,688
31,1264
32,2905
32,2933
33,959
33,965
33,2598
33,2599
33,902
33,2096
33,2039
33,216
33,653
33,2705
33,1497
33,915
33,1895
33,930
33,933
33,941
34,2091
34,1430
34,2737
34,790
34,301
34,37
34,710
34,2161
34,460
35,2112
35,1708
35,1451
35,689
35,693
35,721
35,2270
35,909
35,953
36,114
36,2711
36,2597
36,906
36,503
36,192
36,989
36,2172
36,2411
36,2003
36,2073
36,2139
36,424
36,1747
36,2161
36,385
36,1877
36,1244
36,2296
36,2240
36,839
36,2015
36,1274
36,2932
37,505
37,1772
38,1594
38,2067
38,45
38,1013
39,2003
39,2907
40,2
40,1061
40,697
40,744
41,2137
42,905
42,1046
42,2751
42,617
42,1686
42,798
42,371
42,2947
42,922
42,1523
42,1007
43,1990
44,902
44,504
44,1578
44,1581
44,1060
44,2082
44,941
44,942
44,3047
45,1359
45,1927
45,2096
45,2789
45,693
45,714
45,369
46,1037
46,1475
47,800
48,3020
48,2354
48,1000
48,1841
48,1416
48,32
48,2768
48,48
48,909
48,462
48,928
48,948
49,1088
49,904
49,2034
49,13
49,321
50,2289
51,2999
51,2796
52,1065
52,294
52,449
53,888
53,497
53,2
53,972
53,907
53,1033
53,984
53,1040
53,1578
53,1585
53,1586
53,2354
53,996
53,1060
53,2455
53,2562
53,1241
53,744
53,2521
53,1834
53,1840
53,1324
53,1368
53,2098
53,192
53,1428
53,141
53,2003
53,1467
53,33
53,362
53,430
53,2821
53,804
53,321
53,444
53,2831
53,1539
53,839
53,477
53,1610
53,3046
54,1244
54,2845
55,553
56,2343
56,1871
56,1963
56,1530
57,948
57,2933
58,894
58,906
58,1669
58,608
58,1679
58,617
58,1812
58,2408
58,2472
58,1841
58,2012
58,2015
58,1289
58,121
58,2049
58,2053
58,2122
58,2189
58,29
58,2259
58,2879
58,2212
58,864
58,1512
58,1513
59,956
59,2580
59,2061
59,2748
59,2072
59,2952
59,928
59,421
60,1835
60,1211
61,2768
62,622
62,1567
62,2339
62,684
62,690
62,705
62,2490
62,1790
62,729
62,730
62,1307
62,2710
62,2554
62,11
62,2860
62,32
62,400
62,936
62,845
62,952
63,1280
63,2093
63,2096
63,2768
64,96
65,997
65,1070
65,2451
65,1800
65,1181
65,2137
65,798
65,1613
66,404
67,2598
67,2684
67,1452
67,1459
68,976
68,1453
68,2831
68,949
69,1785
69,1241
69,282
69,25
70,185
70,1989
71,1107
72,918
72,74
73,905
73,2496
73,98
73,2660
73,2177
73,148
73,2262
73,2161
73,324
74,1756
74,513
75,1752
75,1188
75,1299
75,2100
75,214
75,775
75,2136
75,2294
75,404
75,563
76,3020
76,2363
76,1841
76,2137
76,451
77,2470
78,590
78,678
78,696
78,1772
78,1748
78,49
79,2633
80,301
80,2953
81,2580
81,185
81,1437
81,2231
81,845
82,965
82,583
82,1033
82,976
82,637
82,10
82,385
83,1658
83,2114
83,2077
83,1603
84,1933
85,2633
86,1416
86,51
86,835
87,1070
87,1222
88,11
88,513
88,1530
88,1013
89,926
90,2944
90,1229
90,1303
90,2640
90,2260
90,314
90,2233
90,2296
91,2003
91,826
91,416
92,1636
