userId,itemId
1,19
1,42
2,91
2,92
2,142
2,151
2,158
3,194
3,207
3,220
3,226
4,256
5,272
5,276
5,295
6,341
6,351
7,383
8,394
9,421
10,426
11,439
11,318
11,31
12,489
12,499
13,502
13,246
13,514
13,440
13,275
13,277
13,526
13,249
13,252
13,254
13,282
13,461
13,571
13,293
13,295
13,348
13,602
13,608
13,39
13,308
14,395
15,511
15,412
15,322
15,662
15,361
16,504
16,505
16,237
17,252
18,494
18,399
18,354
18,309
18,311
18,269
19,399
20,649
20,671
20,626
21,690
22,639
23,733
24,592
25,284
26,300
27,364
28,328
29,766
30,292
31,440
31,419
32,605
33,774
33,695
33,697
33,300
33,608
33,303
34,526
35,784
35,785
36,413
37,777
38,404
39,437
40,585
41,246
41,253
41,308
42,31
42,39
42,699
42,406
42,264
43,653
43,20
43,785
43,609
44,829
44,830
44,832
44,845
44,864
44,870
44,107
44,896
44,900
44,914
44,917
44,924
45,529
45,256
45,456
45,307
45,325
46,276
46,585
46,28
46,937
46,620
46,630
47,519
48,286
49,329
49,485
49,287
49,330
49,398
50,431
50,421
50,347
50,300
50,39
50,663
51,337
52,949
53,337
54,339
54,347
55,563
55,408
56,284
57,347
58,283
59,283
60,694
60,289
60,298
61,1
61,854
61,585
61,661
62,522
62,964
62,580
62,590
62,603
62,306
63,553
64,697
64,301
65,473
66,418
67,397
68,776
69,950
69,276
69,671
69,345
69,467
69,587
69,618
69,966
70,242
71,79
71,997
71,998
71,1007
71,1007
71,1010
72,281
73,1042
74,263
75,575
76,320
77,245
77,1051
77,1076
77,1108
78,565
78,672
78,645
79,341
79,578
79,618
79,498
80,504
80,590
80,265
81,309
82,492
83,273
83,307
84,290
84,312
84,636
85,1131
86,317
86,580
86,628
87,774
87,532
87,633
87,406
88,290
89,512
89,1149
89,303
90,646
91,553
92,587
93,555
94,3
94,252
94,357
95,504
95,248
96,1
96,442
96,609
96,240
97,427
97,702
97,777
97,289
97,801
97,312
98,311
99,775
100,290
101,648
102,337
102,576
102,352
103,759
103,590
104,1167
105,1159
106,282
106,305
107,448
108,308
109,724
110,544
111,4
112,764
112,800
113,1186
113,559
114,416
115,479
115,321
115,321
115,356
116,616
117,580
117,306
118,720
118,418
118,955
118,456
118,295
119,519
120,456
121,347
122,289
122,436
123,353
124,482
124,293
125,243
126,246
126,774
126,4
126,529
126,283
126,482
126,945
126,946
126,30
126,406
127,504
127,284
127,341
128,404
129,364
130,596
130,316
131,251
131,263
132,779
132,330
132,609
133,319
134,433
134,463
135,292
135,262
135,39
136,333
136,274
136,544
136,257
136,310
137,1
138,1006
139,448
139,262
139,302
140,241
141,427
141,285
141,645
142,485
142,299
143,601
144,241
145,237
145,777
145,288
145,423
145,723
145,240
146,441
146,252
146,549
146,352
146,1224
147,347
148,802
148,251
148,637
148,782
149,792
150,695
151,415
151,603
151,299
151,357
151,363
152,326
152,516
153,245
154,729
155,1250
156,433
157,305
158,497
159,775
160,481
161,965
162,510
163,515
164,522
164,652
165,762
166,373
166,1270
166,303
167,297
168,300
169,305
169,356
170,30
170,494
171,392
172,339
172,414
173,275
173,441
173,1277
173,436
173,355
173,792
173,725
173,269
174,255
175,484
175,406
176,476
177,613
178,505
179,522
180,273
181,272
182,540
183,21
183,1305
183,1311
184,300
185,484
186,356
186,499
186,500
187,677
188,275
189,730
190,481
190,777
191,285
192,252
193,804
194,279
194,281
195,339
196,549
196,332
196,314
196,242
197,285
198,285
199,587
199,613
200,329
201,423
201,613
202,247
203,288
204,514
204,535
204,544
205,288
206,325
